user_id,Facultad,Carrera
22f186b6-6769-49aa-8868-118ebd7721fd,INGENIERÍA QUÍMICA Y TEXTIL,INGENIERÍA QUÍMICA
78f8dfe7-1dfd-41ad-a832-90cc02c1e6cf,INGENIERÍA CIVIL,INGENIERÍA CIVIL
6ff20756-f5d9-4aab-b72e-5ad97ad94355,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SOFTWARE
1aa3e867-445a-48c1-8dd1-d3cfc247a773,CIENCIAS,FISICA
a43b0b75-2cf9-4f5f-939f-7d62d613239d,CIENCIAS,MATEMATICA
532f9e05-1b49-49d4-aa18-1d218027848e,INGENIERÍA CIVIL,INGENIERÍA CIVIL
c42b20cb-082f-42cc-ac8e-5995a3838557,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
135e8012-cf6e-4f3b-a99a-86feed47fe99,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA DE CIBERSEGURIDAD
222886e6-7a3c-4768-acab-4acfdb1b4a35,INGENIERÍA AMBIENTAL,INGENIERÍA AMBIENTAL
c08a49bc-b675-4ac0-939f-949d7142341c,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELÉCTRICA
243cb8c8-bd62-421d-b66e-b250338ef121,"ARQUITECTURA, URBANISMO Y ARTES",ARQUITECTURA
a8661d8b-d4ca-485d-b685-06efc4aee5a2,"INGENIERÍA ECONÓMICA, ESTADÍSTICA Y CIENCIAS SOCIALES",INGENIERÍA ECONÓMICA
d6df8f61-6517-4d6e-886d-732b69adf765,INGENIERÍA CIVIL,INGENIERÍA CIVIL
78624e3a-a7ce-4793-861e-f547dc9699d9,INGENIERÍA MECÁNICA,INGENIERÍA MECATRÓNICA
979d6cc2-1528-4cf6-a56c-055b37c3fda0,INGENIERÍA AMBIENTAL,INGENIERÍA SANITARIA
8ee44bda-ce76-4aa3-bdcd-6547e67ef1d5,INGENIERÍA CIVIL,INGENIERÍA CIVIL
5af82168-62c1-42d6-82db-13ac34929874,INGENIERÍA MECÁNICA,	INGENIERÍA NAVAL
5623c998-e19f-41fa-8be0-c8604d490615,"INGENIERÍA ECONÓMICA, ESTADÍSTICA Y CIENCIAS SOCIALES",INGENIERÍA ESTADÍSTICA
943e1521-7895-4e5c-94fd-947adaecf7e9,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS
8744f866-b07a-48f4-90d1-816f726ed001,	INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
79ef1286-cbcc-47fb-a94b-ae83361b5271,INGENIERÍA MECÁNICA,INGENIERÍA MECÁNICA Y ELÉCTRICA
a36beb03-af43-40e2-b04f-faa4728b772a,"INGENIERÍA GEOLÓGICA, MINERA Y METALÚRGICA",INGENIERÍA GEOLÓGICA
ac2b36c8-67db-414e-a761-9eeee0b699c9,INGENIERÍA MECÁNICA,INGENIERÍA NAVAL
059e7286-8eda-401f-a54b-514885563ac7,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA DE TELECOMUNICACIONES
1d2e3e16-def7-4a95-a732-3b410d07335a,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA DE TELECOMUNICACIONES
4d1b3d2a-f490-4e47-981d-30ee6922e450,"ARQUITECTURA, URBANISMO Y ARTES",ARQUITECTURA
b03e1159-b3b4-4b44-b0d0-231310cd4e16,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
f46e4fc7-9fd6-4669-bde8-07d066e5c145,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
f9401e17-0136-4337-9269-ee37dbd8fd21,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
24be879c-eb2a-4442-8382-f140c991a20e,"ARQUITECTURA, URBANISMO Y ARTES",ARQUITECTURA
37d96800-7b7c-499b-b632-d5025944c5cc,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS
