user_id,Facultad,Carrera
7a57ae7a-d573-4d03-ac10-4772fdf0e89d,INGENIERÍA QUÍMICA Y TEXTIL,INGENIERÍA QUÍMICA
657218df-6c63-4d1f-8eaf-85d3139f0be1,INGENIERÍA CIVIL,INGENIERÍA CIVIL
ecedc02e-d028-40a2-a041-8a01fe1fe686,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SOFTWARE
8ab77042-3caa-4de6-9c05-40cccd3eef2a,CIENCIAS,FISICA
b3642dc6-2b6d-4eff-a6fb-d4cf39b24c78,CIENCIAS,MATEMATICA
1d4b6a02-7fad-455e-bdd2-4fa6282e425f,INGENIERÍA CIVIL,INGENIERÍA CIVIL
44a8984e-6db4-4269-942f-c51f940634db,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
d2e28271-4956-45a5-852c-62523a3e7bba,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA DE CIBERSEGURIDAD
f70e2fa5-e45b-4f13-977a-6fd2dd1803cf,INGENIERÍA AMBIENTAL,INGENIERÍA AMBIENTAL
1efcc69b-c03a-4882-ba7c-b9442d99ae67,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELÉCTRICA
bf003f3b-f270-47ea-a62a-002f4224f7ef,"ARQUITECTURA, URBANISMO Y ARTES",ARQUITECTURA
2cd4410b-ffdb-4cd1-a183-9f186e3bcc6e,"INGENIERÍA ECONÓMICA, ESTADÍSTICA Y CIENCIAS SOCIALES",INGENIERÍA ECONÓMICA
98a6edf8-bb77-4200-bb3f-03d63a9527f0,INGENIERÍA CIVIL,INGENIERÍA CIVIL
55bd7c37-f903-4ba9-908d-e7247230aaaf,INGENIERÍA MECÁNICA,INGENIERÍA MECATRÓNICA
208e0f6a-67d4-4f6a-ad85-174bfdb9531e,INGENIERÍA AMBIENTAL,INGENIERÍA SANITARIA
fd2dd065-3f62-46fc-972b-24f2483428a1,INGENIERÍA CIVIL,INGENIERÍA CIVIL
1074abe0-8dfc-427a-bf53-8e6bfb7f0d7c,INGENIERÍA MECÁNICA,	INGENIERÍA NAVAL
7cd65431-f99b-44b1-a923-8d5f3acee2ce,"INGENIERÍA ECONÓMICA, ESTADÍSTICA Y CIENCIAS SOCIALES",INGENIERÍA ESTADÍSTICA
254eeff4-aaf9-4c67-b959-a29af26130ac,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS
143294d5-1763-4233-90f7-c839aee7ca0f,	INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
c1af18bc-fa58-4e9f-84c2-da3acea4ba85,INGENIERÍA MECÁNICA,INGENIERÍA MECÁNICA Y ELÉCTRICA
95056a15-68aa-4a6c-ba89-c680fea2d882,"INGENIERÍA GEOLÓGICA, MINERA Y METALÚRGICA",INGENIERÍA GEOLÓGICA
d6bc7a07-31c1-414a-8cc5-d2cda891602b,INGENIERÍA MECÁNICA,INGENIERÍA NAVAL
3bec8cd4-7a05-45cd-88ae-948640cd0f36,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA DE TELECOMUNICACIONES
c938b072-3d1a-4fa6-b7f8-639d8ab82b84,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA DE TELECOMUNICACIONES
e6062639-81cc-47c4-a97b-992515140cd2,"ARQUITECTURA, URBANISMO Y ARTES",ARQUITECTURA
d11cc17a-4921-4be5-85b4-dcdb94e78752,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
a88c9311-e6af-45af-b549-3ac8bfdb0f6d,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
fad77e39-233f-4082-8232-e854e7dbba1e,INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,INGENIERÍA ELECTRÓNICA
9f7e4c11-ecf1-414c-8a61-a7287badd325,"ARQUITECTURA, URBANISMO Y ARTES",ARQUITECTURA
db2abaeb-fe96-451d-813f-46153892ea85,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS
6658a86f-2753-4475-bca0-9bd5ccc475e2,INGENIERÍA MECÁNICA,INGENIERÍA MECÁNICA Y ELÉCTRICA
57aee917-69b2-4d40-961e-47074898b5de,"INGENIERÍA GEOLÓGICA, MINERA Y METALÚRGICA",INGENIERÍA DE MINAS
436684b4-d595-4ece-8613-0923fd1be424,CIENCIAS,INGENIERÍA FÍSICA
817f8742-5288-4f64-b142-9477ee3bf9a7,INGENIERÍA CIVIL,INGENIERÍA CIVIL
89c08333-173a-4547-a0e4-0c2309ce7cf7,INGENIERÍA MECÁNICA,INGENIERÍA MECÁNICA
262180c7-e189-464b-b9fa-2f35b2b0dc0e,INGENIERÍA INDUSTRIAL Y DE SISTEMAS,INGENIERÍA DE SISTEMAS
452bcd09-4ece-4a64-b8e5-043f8356b7c0,INGENIERÍA CIVIL,INGENIERÍA CIVIL
93b52963-9db1-4ab0-8975-79e579fc5c55,CIENCIAS,QUÍMICA
b31a773b-95a1-4fa2-812b-839a1d184db0,"INGENIERÍA GEOLÓGICA, MINERA Y METALÚRGICA",INGENIERÍA GEOLÓGICA
