user_id,Paradero (Mañana),Paradero(Noche)
7a57ae7a-d573-4d03-ac10-4772fdf0e89d,1.0,1.0
657218df-6c63-4d1f-8eaf-85d3139f0be1,2.0,2.0
ecedc02e-d028-40a2-a041-8a01fe1fe686,3.0,3.0
8ab77042-3caa-4de6-9c05-40cccd3eef2a,4.0,4.0
b3642dc6-2b6d-4eff-a6fb-d4cf39b24c78,1.0,1.0
1d4b6a02-7fad-455e-bdd2-4fa6282e425f,5.0,5.0
44a8984e-6db4-4269-942f-c51f940634db,6.0,18.0
d2e28271-4956-45a5-852c-62523a3e7bba,1.0,1.0
f70e2fa5-e45b-4f13-977a-6fd2dd1803cf,5.0,5.0
1efcc69b-c03a-4882-ba7c-b9442d99ae67,7.0,7.0
bf003f3b-f270-47ea-a62a-002f4224f7ef,8.0,8.0
2cd4410b-ffdb-4cd1-a183-9f186e3bcc6e,1.0,1.0
98a6edf8-bb77-4200-bb3f-03d63a9527f0,4.0,4.0
55bd7c37-f903-4ba9-908d-e7247230aaaf,8.0,8.0
208e0f6a-67d4-4f6a-ad85-174bfdb9531e,9.0,9.0
fd2dd065-3f62-46fc-972b-24f2483428a1,5.0,5.0
1074abe0-8dfc-427a-bf53-8e6bfb7f0d7c,1.0,19.0
7cd65431-f99b-44b1-a923-8d5f3acee2ce,5.0,5.0
254eeff4-aaf9-4c67-b959-a29af26130ac,7.0,7.0
143294d5-1763-4233-90f7-c839aee7ca0f,7.0,7.0
c1af18bc-fa58-4e9f-84c2-da3acea4ba85,5.0,5.0
95056a15-68aa-4a6c-ba89-c680fea2d882,7.0,7.0
d6bc7a07-31c1-414a-8cc5-d2cda891602b,10.0,10.0
3bec8cd4-7a05-45cd-88ae-948640cd0f36,11.0,1.0
c938b072-3d1a-4fa6-b7f8-639d8ab82b84,4.0,4.0
e6062639-81cc-47c4-a97b-992515140cd2,4.0,4.0
d11cc17a-4921-4be5-85b4-dcdb94e78752,6.0,18.0
a88c9311-e6af-45af-b549-3ac8bfdb0f6d,3.0,3.0
fad77e39-233f-4082-8232-e854e7dbba1e,2.0,2.0
9f7e4c11-ecf1-414c-8a61-a7287badd325,7.0,7.0
db2abaeb-fe96-451d-813f-46153892ea85,3.0,3.0
6658a86f-2753-4475-bca0-9bd5ccc475e2,1.0,1.0
57aee917-69b2-4d40-961e-47074898b5de,11.0,11.0
436684b4-d595-4ece-8613-0923fd1be424,5.0,5.0
817f8742-5288-4f64-b142-9477ee3bf9a7,4.0,4.0
89c08333-173a-4547-a0e4-0c2309ce7cf7,11.0,11.0
262180c7-e189-464b-b9fa-2f35b2b0dc0e,7.0,7.0
452bcd09-4ece-4a64-b8e5-043f8356b7c0,12.0,12.0
93b52963-9db1-4ab0-8975-79e579fc5c55,6.0,6.0
b31a773b-95a1-4fa2-812b-839a1d184db0,5.0,5.0
2eb934a6-d151-4888-8ec2-6af989c77224,13.0,13.0
ee670f70-aa75-449b-90fe-2b110d64f987,,18.0
91af00a3-23b0-44c5-9e7d-9c9d5c67289d,4.0,4.0
d320eeb0-4ead-408b-9f54-34cf48731e84,7.0,7.0
441d4e92-6107-4b8f-b5df-194eef743063,7.0,7.0
84e2c02e-a978-4a5c-8568-31eacd125c31,6.0,18.0
49d69869-5f2c-4bf2-9879-3769adfab348,4.0,4.0
2b7ce394-ee37-4f42-ad66-e5f5c0e28055,7.0,7.0
8cf36e28-a738-445f-b8dc-fbd5c187cd29,5.0,5.0
6a72353d-e5f9-417a-85b6-6d13e10073cd,7.0,
43b0ee5a-802e-496c-8dbd-f23bf8478932,4.0,4.0
80b8008f-66db-4a1a-b84c-f20b1505c89f,12.0,12.0
ecdcbf01-f7a1-4726-a4eb-cf242192723a,7.0,7.0
f0c17788-8c9e-4acc-a43b-c1d5e9996f1d,13.0,13.0
2f0ea507-8f2f-4355-aa17-56782a48a25d,7.0,7.0
8ea0fdc2-6880-4163-a655-579e5ba8786a,,18.0
984ebd85-763a-4902-a3a8-ea37eaadfda3,14.0,14.0
884f5824-51c1-4c1c-a3fb-989f21490056,5.0,18.0
914568a2-5612-4e82-8c14-fdf884cabf1b,3.0,3.0
fdbf1c15-bcf9-4e02-af81-a122429f0102,9.0,9.0
e7a34789-8417-473a-9da9-dd5503227253,9.0,9.0
881ae37b-4280-4e40-a30d-caeb89703a75,3.0,3.0
3fc06e80-9951-4040-bf21-3baa5e70f555,7.0,20.0
b730a449-1665-4ce3-b408-96de72f11f1e,1.0,1.0
6b107487-3701-4068-8f28-555985cbee91,11.0,11.0
923288ac-69ed-42e4-8e79-12c6073190e2,1.0,1.0
5056ac10-9d5a-4edc-9f87-c90a023877bd,1.0,1.0
3aa7a6a1-e621-4461-9c5f-4433c9117099,4.0,4.0
e1ea82db-d0f4-4419-a78b-571620c885b8,4.0,4.0
f50b00c1-ca6d-48f6-b080-afbe2d554724,7.0,7.0
8387edc3-392e-43e3-995f-8ce054611a32,8.0,8.0
abad5f41-e2a1-4df9-9698-be1b0c922058,4.0,4.0
d208e002-028f-4bcf-8587-c325cd000a23,9.0,9.0
aae58a31-49a1-4806-a0e8-008c089242d9,1.0,5.0
0e5be980-a9c1-4863-8353-5dcc4514be63,7.0,7.0
4dadc332-8aa9-4577-b2f0-791674357d6c,12.0,12.0
5e693c36-c844-4319-af41-54054e51e400,7.0,7.0
a903a941-03d2-4284-9df6-974e6a868fc9,5.0,5.0
bda2bf4f-2f94-43ff-820d-36397dcf3fdd,12.0,12.0
00ad204a-f09b-4bb4-a204-0136a08da11e,6.0,6.0
4cae5c1b-f775-4546-9830-9526c2b14a81,12.0,12.0
433cc009-51e1-4c0d-96f7-7a9f105b9cec,4.0,4.0
5de67b80-9ed0-4bf3-b5d6-3c68948ccf4b,6.0,
2abfcce6-3343-4707-9732-2fa8612054a7,3.0,3.0
a510fdc3-be71-4677-9b01-790fa9cfa2f9,13.0,13.0
513cfce5-3426-422a-9328-e9979610610e,8.0,8.0
b8d707d0-7db9-44de-ac89-c4fa69e0531d,5.0,5.0
005e2f47-d2d1-4c8a-bbcb-bcc6af774573,9.0,9.0
